EAL: Detected CPU lcores: 128
EAL: Detected NUMA nodes: 2
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'PA'
EAL: VFIO support initialized
EAL: Probe PCI driver: mlx5_pci (15b3:101d) device: 0000:ca:00.0 (socket 1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.002949; avg_replies=0.000000; pps=56480.967862;
ndpip_rx_thread: avg_burst=0.002884; avg_replies=0.000000; pps=56473.998927;
ndpip_rx_thread: avg_burst=0.002886; avg_replies=0.000000; pps=56507.998983;
ndpip_rx_thread: avg_burst=0.002887; avg_replies=0.000000; pps=56553.936320;
ndpip_rx_thread: avg_burst=0.002881; avg_replies=0.000000; pps=56414.999323;
ndpip_rx_thread: avg_burst=0.002887; avg_replies=0.000000; pps=56549.999435;
ndpip_rx_thread: avg_burst=0.002887; avg_replies=0.000000; pps=56522.998813;
ndpip_rx_thread: avg_burst=0.002886; avg_replies=0.000000; pps=56550.999887;
ndpip_rx_thread: avg_burst=0.002889; avg_replies=0.000000; pps=56559.997229;
ndpip_rx_thread: avg_burst=0.002890; avg_replies=0.000000; pps=56565.998529;
ndpip_rx_thread: avg_burst=0.002885; avg_replies=0.000000; pps=56494.998588;
ndpip_rx_thread: avg_burst=0.002786; avg_replies=0.000000; pps=54665.997923;
ndpip_rx_thread: avg_burst=0.002891; avg_replies=0.000000; pps=56575.997058;
ndpip_rx_thread: avg_burst=0.002886; avg_replies=0.000000; pps=56565.988574;
ndpip_rx_thread: avg_burst=0.002890; avg_replies=0.000000; pps=56563.997568;
ndpip_rx_thread: avg_burst=0.002891; avg_replies=0.000000; pps=56578.999774;
ndpip_rx_thread: avg_burst=0.002892; avg_replies=0.000000; pps=56574.997794;
ndpip_rx_thread: avg_burst=0.002886; avg_replies=0.000000; pps=56490.998475;
