EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
ndpip_rx_thread: avg_burst=0.009437; avg_replies=0.000000; pps=315572.200881; burst_tsc=43.904875;
ndpip_rx_thread: avg_burst=0.088355; avg_replies=0.000000; pps=1271330.248080; burst_tsc=143.046047;
ndpip_rx_thread: avg_burst=0.088961; avg_replies=0.000000; pps=1271849.463887; burst_tsc=144.168619;
ndpip_rx_thread: avg_burst=0.088875; avg_replies=0.000000; pps=1271592.670410; burst_tsc=144.014511;
ndpip_rx_thread: avg_burst=0.088970; avg_replies=0.000000; pps=1271995.126707; burst_tsc=144.175921;
ndpip_rx_thread: avg_burst=0.089078; avg_replies=0.000000; pps=1271638.630500; burst_tsc=144.440285;
ndpip_rx_thread: avg_burst=0.089428; avg_replies=0.000000; pps=1272202.330399; burst_tsc=145.014434;
ndpip_rx_thread: avg_burst=0.089309; avg_replies=0.000000; pps=1271847.951146; burst_tsc=144.865636;
ndpip_rx_thread: avg_burst=0.089468; avg_replies=0.000000; pps=1272057.874156; burst_tsc=145.127981;
ndpip_rx_thread: avg_burst=0.089437; avg_replies=0.000000; pps=1271903.402785; burst_tsc=145.085231;
ndpip_rx_thread: avg_burst=0.089486; avg_replies=0.000000; pps=1272322.351727; burst_tsc=145.132660;
ndpip_rx_thread: avg_burst=0.089419; avg_replies=0.000000; pps=1271853.749182; burst_tsc=145.079266;
ndpip_rx_thread: avg_burst=0.089625; avg_replies=0.000000; pps=1272376.653303; burst_tsc=145.397069;
ndpip_rx_thread: avg_burst=0.089445; avg_replies=0.000000; pps=1272051.621909; burst_tsc=145.130477;
ndpip_rx_thread: avg_burst=0.089589; avg_replies=0.000000; pps=1272363.560191; burst_tsc=145.337756;
ndpip_rx_thread: avg_burst=0.089486; avg_replies=0.000000; pps=1271829.642310; burst_tsc=145.195816;
ndpip_rx_thread: avg_burst=0.089537; avg_replies=0.000000; pps=1272100.289712; burst_tsc=145.273319;
ndpip_rx_thread: avg_burst=0.089485; avg_replies=0.000000; pps=1271827.672713; burst_tsc=145.185706;
