EAL: Detected CPU lcores: 10
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:16:00.0 (socket 0)
pps=0; bps=0;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355169; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355201; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355233; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355265; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355329; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355361; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355393; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355425; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355457; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355489; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355521; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355553; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355585; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355617; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355649; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355681; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355713; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355745; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355777; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355809; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355841; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355873; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355905; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355937; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=355969; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356001; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356033; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356065; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356097; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356129; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356161; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356193; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356897; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356929; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356961; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=356993; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357089; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357121; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357153; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357185; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357217; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357249; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357281; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357313; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357345; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357377; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357409; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357441; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357473; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357505; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357537; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357569; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357601; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357633; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357665; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357697; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357729; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357761; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357793; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357825; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357857; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357889; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357921; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=357953; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358401; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358433; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358465; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358497; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358593; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358625; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358657; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358689; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358753; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358785; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358817; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358849; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358881; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358913; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358945; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=358977; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359009; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359041; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359073; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359105; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359137; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359169; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359201; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359233; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359265; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359297; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359329; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359361; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359393; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359425; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359457; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359489; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359521; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359553; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359585; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359617; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359649; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359681; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359713; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359745; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359777; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359809; expected_seq=355137;
ndpip_tcp_feed: Unseen segment: local_port=4112; remote_port=46759; seq=359841; expected_seq=355137;
