EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.015329; avg_replies=0.000000; pps=807490.884508;
ndpip_rx_thread: avg_burst=0.026003; avg_replies=0.000000; pps=1166405.878581;
ndpip_rx_thread: avg_burst=0.026016; avg_replies=0.000000; pps=1166951.543180;
ndpip_rx_thread: avg_burst=0.025991; avg_replies=0.000000; pps=1165952.972128;
ndpip_rx_thread: avg_burst=0.026010; avg_replies=0.000000; pps=1166779.796797;
ndpip_rx_thread: avg_burst=0.026008; avg_replies=0.000000; pps=1166235.396619;
ndpip_rx_thread: avg_burst=0.026010; avg_replies=0.000000; pps=1166686.804797;
ndpip_rx_thread: avg_burst=0.026007; avg_replies=0.000000; pps=1166571.824165;
ndpip_rx_thread: avg_burst=0.026012; avg_replies=0.000000; pps=1166473.096794;
ndpip_rx_thread: avg_burst=0.026001; avg_replies=0.000000; pps=1166604.502712;
ndpip_rx_thread: avg_burst=0.026007; avg_replies=0.000000; pps=1166715.189139;
ndpip_rx_thread: avg_burst=0.026008; avg_replies=0.000000; pps=1166608.203684;
ndpip_rx_thread: avg_burst=0.025987; avg_replies=0.000000; pps=1166113.380237;
ndpip_rx_thread: avg_burst=0.026014; avg_replies=0.000000; pps=1166889.612791;
ndpip_rx_thread: avg_burst=0.026015; avg_replies=0.000000; pps=1166698.265645;
ndpip_rx_thread: avg_burst=0.021675; avg_replies=0.000000; pps=1033058.818125;
