EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=0.999912;
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.001305; avg_replies=0.000000; pps=85522.897903;
ndpip_rx_thread: avg_burst=0.006501; avg_replies=0.000000; pps=340308.266769;
ndpip_rx_thread: avg_burst=0.006448; avg_replies=0.000000; pps=339210.601006;
ndpip_rx_thread: avg_burst=0.006448; avg_replies=0.000000; pps=339057.910946;
ndpip_rx_thread: avg_burst=0.006445; avg_replies=0.000000; pps=339654.563436;
ndpip_rx_thread: avg_burst=0.006451; avg_replies=0.000000; pps=338776.803372;
ndpip_rx_thread: avg_burst=0.006464; avg_replies=0.000000; pps=338959.799586;
ndpip_rx_thread: avg_burst=0.006487; avg_replies=0.000000; pps=339495.805956;
ndpip_rx_thread: avg_burst=0.006462; avg_replies=0.000000; pps=339181.081139;
ndpip_rx_thread: avg_burst=0.006452; avg_replies=0.000000; pps=339296.682426;
ndpip_rx_thread: avg_burst=0.006465; avg_replies=0.000000; pps=338508.472875;
ndpip_rx_thread: avg_burst=0.006477; avg_replies=0.000000; pps=339043.924352;
ndpip_rx_thread: avg_burst=0.006468; avg_replies=0.000000; pps=338677.920552;
ndpip_rx_thread: avg_burst=0.006455; avg_replies=0.000000; pps=338810.040027;
ndpip_rx_thread: avg_burst=0.006456; avg_replies=0.000000; pps=338723.981620;
ndpip_rx_thread: avg_burst=0.006431; avg_replies=0.000000; pps=339006.970509;
ndpip_rx_thread: avg_burst=0.001534; avg_replies=0.000000; pps=99386.474609;
