EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.002430; avg_replies=0.000000; pps=106878.947464;
ndpip_rx_thread: avg_burst=0.004016; avg_replies=0.000000; pps=142181.936521;
ndpip_rx_thread: avg_burst=0.004014; avg_replies=0.000000; pps=142132.280937;
ndpip_rx_thread: avg_burst=0.004010; avg_replies=0.000000; pps=142022.860721;
ndpip_rx_thread: avg_burst=0.004016; avg_replies=0.000000; pps=142011.012234;
ndpip_rx_thread: avg_burst=0.004009; avg_replies=0.000000; pps=141953.352321;
ndpip_rx_thread: avg_burst=0.004005; avg_replies=0.000000; pps=141919.095234;
ndpip_rx_thread: avg_burst=0.004001; avg_replies=0.000000; pps=141863.984821;
ndpip_rx_thread: avg_burst=0.003997; avg_replies=0.000000; pps=141833.801173;
ndpip_rx_thread: avg_burst=0.003998; avg_replies=0.000000; pps=141852.857395;
ndpip_rx_thread: avg_burst=0.003997; avg_replies=0.000000; pps=141829.026477;
ndpip_rx_thread: avg_burst=0.003997; avg_replies=0.000000; pps=141819.396936;
ndpip_rx_thread: avg_burst=0.004004; avg_replies=0.000000; pps=141796.587833;
ndpip_rx_thread: avg_burst=0.003992; avg_replies=0.000000; pps=141695.193982;
ndpip_rx_thread: avg_burst=0.001039; avg_replies=0.000000; pps=57802.530519;
