EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.009169; avg_replies=0.000000; pps=424943.866999;
ndpip_rx_thread: avg_burst=0.037174; avg_replies=0.000000; pps=843825.699124;
ndpip_rx_thread: avg_burst=0.036611; avg_replies=0.000000; pps=834019.033197;
ndpip_rx_thread: avg_burst=0.036312; avg_replies=0.000000; pps=828362.447452;
ndpip_rx_thread: avg_burst=0.035983; avg_replies=0.000000; pps=823195.404464;
ndpip_rx_thread: avg_burst=0.035681; avg_replies=0.000000; pps=818040.190255;
ndpip_rx_thread: avg_burst=0.035456; avg_replies=0.000000; pps=814361.588971;
ndpip_rx_thread: avg_burst=0.035395; avg_replies=0.000000; pps=812147.654747;
ndpip_rx_thread: avg_burst=0.035179; avg_replies=0.000000; pps=809159.460258;
ndpip_rx_thread: avg_burst=0.034992; avg_replies=0.000000; pps=805878.621199;
ndpip_rx_thread: avg_burst=0.034895; avg_replies=0.000000; pps=804329.909503;
ndpip_rx_thread: avg_burst=0.034848; avg_replies=0.000000; pps=803509.536320;
ndpip_rx_thread: avg_burst=0.034744; avg_replies=0.000000; pps=799757.364902;
ndpip_rx_thread: avg_burst=0.034673; avg_replies=0.000000; pps=800713.534699;
ndpip_rx_thread: avg_burst=0.027406; avg_replies=0.000000; pps=734486.349796;
