EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.010090; avg_replies=0.000000; pps=729110.489602;
ndpip_rx_thread: avg_burst=0.015099; avg_replies=0.000000; pps=978949.537864;
ndpip_rx_thread: avg_burst=0.015121; avg_replies=0.000000; pps=979796.676627;
ndpip_rx_thread: avg_burst=0.015124; avg_replies=0.000000; pps=979401.267779;
ndpip_rx_thread: avg_burst=0.015124; avg_replies=0.000000; pps=978664.908808;
ndpip_rx_thread: avg_burst=0.015170; avg_replies=0.000000; pps=980468.539453;
ndpip_rx_thread: avg_burst=0.015192; avg_replies=0.000000; pps=980901.673026;
ndpip_rx_thread: avg_burst=0.015164; avg_replies=0.000000; pps=980319.490568;
ndpip_rx_thread: avg_burst=0.015139; avg_replies=0.000000; pps=980834.551220;
ndpip_rx_thread: avg_burst=0.015115; avg_replies=0.000000; pps=979683.355934;
ndpip_rx_thread: avg_burst=0.015116; avg_replies=0.000000; pps=979605.236818;
ndpip_rx_thread: avg_burst=0.015119; avg_replies=0.000000; pps=979961.309637;
ndpip_rx_thread: avg_burst=0.015179; avg_replies=0.000000; pps=981509.108384;
ndpip_rx_thread: avg_burst=0.015141; avg_replies=0.000000; pps=979625.156420;
ndpip_rx_thread: avg_burst=0.015180; avg_replies=0.000000; pps=980365.565256;
ndpip_rx_thread: avg_burst=0.006312; avg_replies=0.000000; pps=499496.594651;
