EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=0.999944;
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.004326; avg_replies=0.000000; pps=339696.264095;
ndpip_rx_thread: avg_burst=0.006170; avg_replies=0.000000; pps=452782.200689;
ndpip_rx_thread: avg_burst=0.006180; avg_replies=0.000000; pps=453381.381943;
ndpip_rx_thread: avg_burst=0.006175; avg_replies=0.000000; pps=452815.829285;
ndpip_rx_thread: avg_burst=0.006183; avg_replies=0.000000; pps=453682.236906;
ndpip_rx_thread: avg_burst=0.006175; avg_replies=0.000000; pps=453507.925108;
ndpip_rx_thread: avg_burst=0.006181; avg_replies=0.000000; pps=453455.339465;
ndpip_rx_thread: avg_burst=0.006185; avg_replies=0.000000; pps=453746.898861;
ndpip_rx_thread: avg_burst=0.006165; avg_replies=0.000000; pps=452659.899489;
ndpip_rx_thread: avg_burst=0.006173; avg_replies=0.000000; pps=453172.465101;
ndpip_rx_thread: avg_burst=0.006182; avg_replies=0.000000; pps=453602.022541;
ndpip_rx_thread: avg_burst=0.006187; avg_replies=0.000000; pps=453811.218909;
ndpip_rx_thread: avg_burst=0.006163; avg_replies=0.000000; pps=452611.645509;
ndpip_rx_thread: avg_burst=0.006179; avg_replies=0.000000; pps=453204.325578;
ndpip_rx_thread: avg_burst=0.006169; avg_replies=0.000000; pps=453048.592081;
ndpip_rx_thread: avg_burst=0.005932; avg_replies=0.000000; pps=439308.609394;
