EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=0.999954;
ndpip_rx_thread: avg_burst=0.003956; avg_replies=0.000000; pps=149041.647797;
ndpip_rx_thread: avg_burst=0.003922; avg_replies=0.000000; pps=148441.162307;
ndpip_rx_thread: avg_burst=0.003916; avg_replies=0.000000; pps=148315.378263;
ndpip_rx_thread: avg_burst=0.003907; avg_replies=0.000000; pps=148128.985608;
ndpip_rx_thread: avg_burst=0.003913; avg_replies=0.000000; pps=148094.354252;
ndpip_rx_thread: avg_burst=0.003917; avg_replies=0.000000; pps=148033.611743;
ndpip_rx_thread: avg_burst=0.003917; avg_replies=0.000000; pps=147996.689201;
ndpip_rx_thread: avg_burst=0.003913; avg_replies=0.000000; pps=147951.595294;
ndpip_rx_thread: avg_burst=0.003907; avg_replies=0.000000; pps=147858.085943;
ndpip_rx_thread: avg_burst=0.003904; avg_replies=0.000000; pps=147797.612191;
ndpip_rx_thread: avg_burst=0.003902; avg_replies=0.000000; pps=147755.414498;
ndpip_rx_thread: avg_burst=0.003897; avg_replies=0.000000; pps=147693.458401;
ndpip_rx_thread: avg_burst=0.003900; avg_replies=0.000000; pps=147706.962607;
ndpip_rx_thread: avg_burst=0.003894; avg_replies=0.000000; pps=147618.316534;
ndpip_rx_thread: avg_burst=0.003105; avg_replies=0.000000; pps=134114.799443;
