EAL: Detected CPU lcores: 16
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Probe PCI driver: net_ice (8086:1592) device: 0000:65:00.0 (socket 0)
ice_load_pkg_type(): Active package is: 1.3.30.0, ICE OS Default Package (single VLAN mode)
ice_set_rx_function(): Using AVX2 Vector Rx (port 0).
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.000001; avg_replies=0.000000; pps=92.997950;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999844;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999723;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999679;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999699;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999724;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999661;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999690;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999693;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999718;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999766;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999826;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999764;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999798;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.999763;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=1.999907;
