EAL: Detected CPU lcores: 6
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/rte/mp_socket
EAL: Selected IOVA mode 'VA'
EAL: VFIO support initialized
EAL: Using IOMMU type 1 (Type 1)
EAL: Ignore mapping IO port bar(2)
EAL: Probe PCI driver: net_ixgbe (8086:10fb) device: 0000:1a:00.1 (socket -1)
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.025588; avg_replies=0.000000; pps=524101.425585;
ndpip_rx_thread: avg_burst=0.025666; avg_replies=0.000000; pps=524568.993705;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=3.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
ndpip_rx_thread: avg_burst=0.000000; avg_replies=0.000000; pps=4.000000;
