EAL: Detected CPU lcores: 8
EAL: Detected NUMA nodes: 1
EAL: Detected static linkage of DPDK
EAL: Multi-process socket /var/run/dpdk/p2/mp_socket
EAL: Selected IOVA mode 'PA'
app-ndpiptest: connected
ndpip_rx_thread: avg_burst=0.002186; avg_replies=0.000000; pps=79783.999681;
ndpip_rx_thread: avg_burst=0.002147; avg_replies=0.000000; pps=78722.999843;
ndpip_rx_thread: avg_burst=0.002142; avg_replies=0.000000; pps=76758.998158;
ndpip_rx_thread: avg_burst=0.002389; avg_replies=0.000000; pps=75919.999924;
ndpip_rx_thread: avg_burst=0.002588; avg_replies=0.000000; pps=73363.999853;
ndpip_rx_thread: avg_burst=0.002893; avg_replies=0.000000; pps=74294.998514;
ndpip_rx_thread: avg_burst=0.002856; avg_replies=0.000000; pps=74035.998371;
ndpip_rx_thread: avg_burst=0.002868; avg_replies=0.000000; pps=73604.995436;
ndpip_rx_thread: avg_burst=0.002808; avg_replies=0.000000; pps=72919.999927;









